preprocess,embedding,oversampling,model,run,accuracy,precision,recall,f1,TP,FP,TN,FN,param
none,gpt,False,SVC,0,0.8809,0.6083,0.7468,0.6705,59,38,370,20,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,gpt,True,SVC,0,0.9097,0.7692,0.6329,0.6944,50,15,393,29,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,False,Logistic_Regression,0,0.8665,0.5625,0.7975,0.6597,63,49,359,16,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,llama,False,SVC,0,0.8604,0.5496,0.7722,0.6421,61,50,358,18,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,gpt,True,Logistic_Regression,0,0.8809,0.6364,0.6203,0.6282,49,28,380,30,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,llama,True,SVC,0,0.8871,0.6936,0.5443,0.6099,43,19,389,36,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,False,Logistic_Regression,0,0.8686,0.5882,0.6329,0.6098,50,35,373,29,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
all,tfidf,False,Random_Forest,0,0.8563,0.5542,0.5823,0.5679,46,37,371,33,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,tfidf,False,Random_Forest,0,0.8706,0.625,0.5063,0.5594,40,24,384,39,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,bert,True,Random_Forest,0,0.8624,0.5833,0.5317,0.5563,42,30,378,37,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,True,Random_Forest,0,0.8912,0.825,0.4177,0.5546,33,7,401,46,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,True,SVC,0,0.7926,0.4247,0.7848,0.5511,62,84,324,17,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,llama,True,Logistic_Regression,0,0.8624,0.5857,0.519,0.5503,41,29,379,38,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,False,Logistic_Regression,0,0.8008,0.4338,0.7468,0.5488,59,77,331,20,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,False,Decision_Tree,0,0.8563,0.5616,0.519,0.5395,41,32,376,38,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,SVC,0,0.7721,0.3987,0.7975,0.5317,63,95,313,16,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,llama,True,Random_Forest,0,0.8706,0.6482,0.443,0.5263,35,19,389,44,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,False,SVC,0,0.7782,0.4,0.7342,0.5179,58,87,321,21,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,llama,False,K_Nearest_Neighbors,0,0.8809,0.7561,0.3924,0.5167,31,10,398,48,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
none,tfidf,False,Logistic_Regression,0,0.7782,0.3972,0.7089,0.5091,56,85,323,23,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
all,tfidf,False,Logistic_Regression,0,0.7721,0.3889,0.7089,0.5022,56,88,320,23,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,bert,True,Logistic_Regression,0,0.8152,0.4455,0.5696,0.5,45,56,352,34,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
all,tfidf,False,SVC,0,0.7741,0.3885,0.6835,0.4954,54,85,323,25,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,tfidf,True,Logistic_Regression,0,0.8316,0.4819,0.5063,0.4938,40,43,365,39,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'sag'}"
all,tfidf,True,Decision_Tree,0,0.8398,0.5067,0.481,0.4935,38,37,371,41,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,llama,True,K_Nearest_Neighbors,0,0.6817,0.3288,0.9241,0.4851,73,149,259,6,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,bert,False,Decision_Tree,0,0.7782,0.3876,0.6329,0.4808,50,79,329,29,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,tfidf,True,Random_Forest,0,0.8789,0.7941,0.3418,0.4779,27,7,401,52,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,True,Decision_Tree,0,0.8234,0.4588,0.4937,0.4756,39,46,362,40,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,True,Random_Forest,0,0.8665,0.6667,0.3544,0.4628,28,14,394,51,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,True,Logistic_Regression,0,0.8378,0.5,0.4304,0.4626,34,34,374,45,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,False,Naive_Bayes,0,0.7084,0.3279,0.7595,0.458,60,123,285,19,{'var_smoothing': 1e-11}
all,tfidf,False,Decision_Tree,0,0.8296,0.473,0.443,0.4575,35,39,369,44,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,llama,False,Decision_Tree,0,0.7598,0.3582,0.6076,0.4507,48,86,322,31,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
none,gpt,False,Naive_Bayes,0,0.6941,0.3158,0.7595,0.4461,60,130,278,19,{'var_smoothing': 1e-11}
none,tfidf,False,Naive_Bayes,0,0.6571,0.3018,0.8481,0.4452,67,155,253,12,{'var_smoothing': 0.1}
none,bert,True,Naive_Bayes,0,0.6427,0.2926,0.8481,0.4351,67,162,246,12,{'var_smoothing': 0.1}
none,tfidf,True,SVC,0,0.8604,0.6342,0.3291,0.4333,26,15,393,53,"{'C': 1.0, 'class_weight': None, 'kernel': 'poly'}"
none,llama,False,Random_Forest,0,0.8789,0.9167,0.2785,0.4272,22,2,406,57,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 1000}"
none,gpt,True,K_Nearest_Neighbors,0,0.6078,0.2795,0.8987,0.4264,71,183,225,8,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,True,Naive_Bayes,0,0.6715,0.2923,0.7215,0.4161,57,138,270,22,{'var_smoothing': 1e-11}
none,bert,True,Decision_Tree,0,0.7803,0.3654,0.481,0.4153,38,66,342,41,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}"
none,bert,True,K_Nearest_Neighbors,0,0.6632,0.2886,0.7342,0.4143,58,143,265,21,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,K_Nearest_Neighbors,0,0.8337,0.4828,0.3544,0.4088,28,30,378,51,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,Naive_Bayes,0,0.6345,0.276,0.7722,0.4067,61,160,248,18,{'var_smoothing': 1e-11}
none,bert,False,K_Nearest_Neighbors,0,0.8501,0.5682,0.3165,0.4065,25,19,389,54,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
all,tfidf,False,Naive_Bayes,0,0.6941,0.2941,0.6329,0.4016,50,120,288,29,{'var_smoothing': 0.001}
none,tfidf,False,K_Nearest_Neighbors,0,0.8337,0.4815,0.3291,0.391,26,28,380,53,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}"
all,tfidf,True,SVC,0,0.8645,0.7241,0.2658,0.3889,21,8,400,58,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,True,Decision_Tree,0,0.7659,0.3365,0.4557,0.3871,36,71,337,43,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,True,Naive_Bayes,0,0.7125,0.2953,0.557,0.386,44,105,303,35,{'var_smoothing': 0.01}
